name,url,icon,class
Twitter,https://twitter.com/Terracoin_TRC,twitter.jpg,trans_downleft
YouTube,https://www.youtube.com/terracoin,youtube.jpg,
Facebook,https://www.facebook.com/TheTerracoinFoundation,fb.jpg,trans_left
