name,position,foundation,mattermost,twitter,linkedin,github
Tyler Dreilick,Media Designer,yes,tygi,tygi009,,
Heather Hallett,Video Specialist,yes,fetticakes,fetticakes,,
Jacob Kerr,Community Outreach,yes,jacob_kerr,,jacobkerr,
